Oreske - Skalica;307;228;74.26;228;228;302;204;67.54;204;199;Skalica;Trnavsky kraj
Petrova Ves;870;499;57.35;499;497;869;415;47.75;415;414;Skalica;Trnavsky kraj
Popudinske Mocidlany;749;376;50.2;376;374;740;304;41.08;304;295;Skalica;Trnavsky kraj
Prietrzka;409;256;62.59;256;254;409;221;54.03;221;218;Skalica;Trnavsky kraj
Radimov;454;246;54.18;246;245;454;213;46.91;213;211;Skalica;Trnavsky kraj
Radosovce - Skalica;1456;866;59.47;866;860;1457;685;47.01;685;653;Skalica;Trnavsky kraj
Skalica;12717;6377;50.14;6364;6322;12767;5625;44.05;5625;5557;Skalica;Trnavsky kraj
Trnovec;243;155;63.78;155;155;241;140;58.09;140;135;Skalica;Trnavsky kraj
Unin;998;569;57.01;569;567;1009;491;48.66;491;473;Skalica;Trnavsky kraj
Vradiste;654;370;56.57;369;368;650;280;43.07;280;271;Skalica;Trnavsky kraj
Bojnicky;1182;568;48.05;566;562;1133;461;40.68;461;457;Hlohovec;Trnavsky kraj
Cervenik;1343;754;56.14;754;745;1340;585;43.65;585;576;Hlohovec;Trnavsky kraj
Dolne Otrokovce;307;146;47.55;146;144;305;129;42.29;129;128;Hlohovec;Trnavsky kraj
Dolne Trhoviste;521;270;51.82;270;270;527;228;43.26;228;227;Hlohovec;Trnavsky kraj
Dolne Zelenice;479;293;61.16;293;293;484;254;52.47;254;250;Hlohovec;Trnavsky kraj
Dvorniky;1634;729;44.61;729;729;1649;559;33.89;559;548;Hlohovec;Trnavsky kraj
Hlohovec;17577;8929;50.79;8922;8854;17573;7554;42.98;7552;7410;Hlohovec;Trnavsky kraj
